2014/04/22 09:44:46.648, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetRoleList : 46.648, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.648, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetRoleList()], , , Exam.ExamFacade
2014/04/22 09:44:46.656, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetPrivilegeList : 46.656, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.657, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetPrivilegeList()], , , Exam.ExamFacade
2014/04/22 09:44:46.663, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetPrivilegeList : 46.663, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.663, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetPrivilegeList()], , , Exam.ExamFacade
2014/04/22 09:44:46.664, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetPrivilegeList : 46.664, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.664, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetPrivilegeList()], , , Exam.ExamFacade
2014/04/22 09:44:46.665, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListDicomBodyPart : 46.665, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.666, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListDicomBodyPart()], , , Exam.ExamFacade
2014/04/22 09:44:46.672, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListDicomPatientPosition : 46.672, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.672, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListDicomPatientPosition()], , , Exam.ExamFacade
2014/04/22 09:44:46.675, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataDicomPatientOrientation : 46.675, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.676, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataDicomPatientOrientation()], , , Exam.ExamFacade
2014/04/22 09:44:46.681, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetGridInfo : 46.681, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.681, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetGridInfo()], , , Exam.ExamFacade
2014/04/22 09:44:46.687, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetViewPositionList : 46.687, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.688, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetViewPositionList()], , , Exam.ExamFacade
2014/04/22 09:44:46.692, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataBarcodeSettings : 46.692, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.692, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataBarcodeSettings()], , , Exam.ExamFacade
2014/04/22 09:44:46.812, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataSystemOption : 46.812, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.813, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataSystemOption()], , , Exam.ExamFacade
2014/04/22 09:44:46.814, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataMediaStorageServer : 46.814, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.815, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataMediaStorageServer()], , , Exam.ExamFacade
2014/04/22 09:44:46.819, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingConvertRule : 46.819, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.820, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetIHESettingConvertRule()], , , Exam.ExamFacade
2014/04/22 09:44:46.914, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.914, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.915, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.916, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.916, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.916, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.917, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.917, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.917, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.918, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.918, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.918, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.918, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemInstitutionList : 46.918, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.919, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemInstitutionList()], , , Exam.ExamFacade
2014/04/22 09:44:46.924, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemStudyDescriptionList : 46.924, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.925, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemStudyDescriptionList()], , , Exam.ExamFacade
2014/04/22 09:44:46.929, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemSeriesDescriptionList : 46.929, , , WorkflowLibrary.Configflow
